dis_name,dis_description,dis_symptoms,dis_precaution,kfold,encoded_dis_name
fungal infection,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.", itching  skin rash  nodal skin eruptions  dischromic patches,"['bath twice', 'use detol or neem in bathing water', 'keep infected area dry', 'use clean cloths']",1.0,15
fungal infection,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",  skin rash  nodal skin eruptions  dischromic patches,"['bath twice', 'use detol or neem in bathing water', 'keep infected area dry', 'use clean cloths']",5.0,15
fungal infection,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.", itching  nodal skin eruptions  dischromic patches,"['bath twice', 'use detol or neem in bathing water', 'keep infected area dry', 'use clean cloths']",5.0,15
fungal infection,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.", itching  skin rash  dischromic patches,"['bath twice', 'use detol or neem in bathing water', 'keep infected area dry', 'use clean cloths']",5.0,15
fungal infection,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.", itching  skin rash  nodal skin eruptions,"['bath twice', 'use detol or neem in bathing water', 'keep infected area dry', 'use clean cloths']",2.0,15
fungal infection,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",  skin rash  nodal skin eruptions  dischromic patches,"['bath twice', 'use detol or neem in bathing water', 'keep infected area dry', 'use clean cloths']",2.0,15
fungal infection,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.", itching  nodal skin eruptions  dischromic patches,"['bath twice', 'use detol or neem in bathing water', 'keep infected area dry', 'use clean cloths']",5.0,15
fungal infection,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.", itching  skin rash  dischromic patches,"['bath twice', 'use detol or neem in bathing water', 'keep infected area dry', 'use clean cloths']",3.0,15
fungal infection,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.", itching  skin rash  nodal skin eruptions,"['bath twice', 'use detol or neem in bathing water', 'keep infected area dry', 'use clean cloths']",1.0,15
fungal infection,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.", itching  skin rash  nodal skin eruptions  dischromic patches,"['bath twice', 'use detol or neem in bathing water', 'keep infected area dry', 'use clean cloths']",2.0,15
allergy,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",  continuous sneezing  shivering  chills  watering from eyes,"['apply calamine', 'cover area with bandage', '', 'use ice to compress itching']",3.0,4
allergy,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",  shivering  chills  watering from eyes,"['apply calamine', 'cover area with bandage', '', 'use ice to compress itching']",1.0,4
allergy,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",  continuous sneezing  chills  watering from eyes,"['apply calamine', 'cover area with bandage', '', 'use ice to compress itching']",2.0,4
allergy,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",  continuous sneezing  shivering  watering from eyes,"['apply calamine', 'cover area with bandage', '', 'use ice to compress itching']",2.0,4
allergy,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",  continuous sneezing  shivering  chills,"['apply calamine', 'cover area with bandage', '', 'use ice to compress itching']",5.0,4
allergy,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",  shivering  chills  watering from eyes,"['apply calamine', 'cover area with bandage', '', 'use ice to compress itching']",2.0,4
allergy,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",  continuous sneezing  chills  watering from eyes,"['apply calamine', 'cover area with bandage', '', 'use ice to compress itching']",1.0,4
allergy,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",  continuous sneezing  shivering  watering from eyes,"['apply calamine', 'cover area with bandage', '', 'use ice to compress itching']",5.0,4
allergy,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",  continuous sneezing  shivering  chills,"['apply calamine', 'cover area with bandage', '', 'use ice to compress itching']",1.0,4
allergy,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",  continuous sneezing  shivering  chills  watering from eyes,"['apply calamine', 'cover area with bandage', '', 'use ice to compress itching']",5.0,4
gerd,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",  stomach pain  acidity  ulcers on tongue  vomiting  cough  chest pain,"['avoid fatty spicy food', 'avoid lying down after eating', 'maintain healthy weight', 'exercise']",5.0,17
gerd,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",  stomach pain  ulcers on tongue  vomiting  cough  chest pain,"['avoid fatty spicy food', 'avoid lying down after eating', 'maintain healthy weight', 'exercise']",3.0,17
gerd,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",  stomach pain  acidity  vomiting  cough  chest pain,"['avoid fatty spicy food', 'avoid lying down after eating', 'maintain healthy weight', 'exercise']",3.0,17
gerd,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",  stomach pain  acidity  ulcers on tongue  cough  chest pain,"['avoid fatty spicy food', 'avoid lying down after eating', 'maintain healthy weight', 'exercise']",4.0,17
gerd,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",  stomach pain  acidity  ulcers on tongue  vomiting  chest pain,"['avoid fatty spicy food', 'avoid lying down after eating', 'maintain healthy weight', 'exercise']",1.0,17
gerd,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",  stomach pain  acidity  ulcers on tongue  vomiting  cough,"['avoid fatty spicy food', 'avoid lying down after eating', 'maintain healthy weight', 'exercise']",3.0,17
gerd,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",  acidity  ulcers on tongue  vomiting  cough  chest pain,"['avoid fatty spicy food', 'avoid lying down after eating', 'maintain healthy weight', 'exercise']",2.0,17
gerd,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",  stomach pain  ulcers on tongue  vomiting  cough  chest pain,"['avoid fatty spicy food', 'avoid lying down after eating', 'maintain healthy weight', 'exercise']",2.0,17
gerd,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",  stomach pain  acidity  vomiting  cough  chest pain,"['avoid fatty spicy food', 'avoid lying down after eating', 'maintain healthy weight', 'exercise']",5.0,17
gerd,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",  stomach pain  acidity  ulcers on tongue  cough  chest pain,"['avoid fatty spicy food', 'avoid lying down after eating', 'maintain healthy weight', 'exercise']",5.0,17
chronic cholestasis,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases", itching  vomiting  yellowish skin  nausea  loss of appetite  abdominal pain  yellowing of eyes,"['cold baths', 'anti itch medicine', 'consult doctor', 'eat healthy']",5.0,9
chronic cholestasis,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",  vomiting  yellowish skin  nausea  loss of appetite  abdominal pain  yellowing of eyes,"['cold baths', 'anti itch medicine', 'consult doctor', 'eat healthy']",2.0,9
chronic cholestasis,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases", itching  yellowish skin  nausea  loss of appetite  abdominal pain  yellowing of eyes,"['cold baths', 'anti itch medicine', 'consult doctor', 'eat healthy']",1.0,9
chronic cholestasis,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases", itching  vomiting  nausea  loss of appetite  abdominal pain  yellowing of eyes,"['cold baths', 'anti itch medicine', 'consult doctor', 'eat healthy']",3.0,9
chronic cholestasis,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases", itching  vomiting  yellowish skin  loss of appetite  abdominal pain  yellowing of eyes,"['cold baths', 'anti itch medicine', 'consult doctor', 'eat healthy']",3.0,9
chronic cholestasis,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases", itching  vomiting  yellowish skin  nausea  abdominal pain  yellowing of eyes,"['cold baths', 'anti itch medicine', 'consult doctor', 'eat healthy']",1.0,9
chronic cholestasis,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases", itching  vomiting  yellowish skin  nausea  loss of appetite  yellowing of eyes,"['cold baths', 'anti itch medicine', 'consult doctor', 'eat healthy']",5.0,9
